"WikiEspecimenID"	"IDENTIFICADOR"	"COLLECTOR"	"NUMBER"	"COLLDD"	"COLLMM"	"COLLYY"	"FAMILY"	"GENUS"	"SPECIES"	"INFRASPECIES"	"NOME"	"HABITAT_CLASSE"	"COUNTRY"	"MINORAREA"	"MAJORAREA"	"GAZETTEER_CURTO"	"GAZETTEER_COMPLETA"	"GAZETTEER_SPECIFIC"	"LATITUDE"	"LONGITUDE"	"ALTITUDE"	"DAPmm"	"ALTURAm"	"FERTILIDADE"
"10288"	"SIL6562016"	"Silva, M.F. da"	"656"	"22"	"1"	"2016"	"Rubiaceae"	"Pagamea"	"angustifolia"		"Pagamea"		"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim - Sítio Toca da Onça"	"Sítio Toca da Onça"	"-60.235095"	"2.84637861"
"10289"	"VIC8312016"	"Vicentini, A."	"831"	"22"	"1"	"2016"	"Rubiaceae"	"Pagamea"	"coriacea"		"Pagamea coriacea"		"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim - Sítio Toca da Onça"	"Sítio Toca da Onça"	"-60.234936"	"-2.8466955"
"10290"	"TAT165002016"	"Tate, G.H.H."	"16500"	"22"	"1"	"2016"	"Fabaceae"	"Inga"	"splendens"		"Inga splendens"		"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim - Sítio Toca da Onça"	"Sítio Toca da Onça"	"-60.235095"	"2.84637861"
"10291"	"ARA59262016"	"Terra-Araujo, M.H."	"5926"	"22"	"1"	"2016"	"Dioscoreaceae"						"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim - Sítio Toca da Onça"	"Sítio Toca da Onça"	"-60.235095"	"-2.8463786"
"10292"	"HOP31372016"	"Hopkins, M.J.G."	"3137"	"22"	"1"	"2016"	"Chrysobalanaceae"						"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim - Sítio Toca da Onça"	"Sítio Toca da Onça"	"-60.235095"	"-2.8463786"
"10293"	"PRA5612016"	"Prata, E."	"561"	"1"	"2"	"2016"	"Rubiaceae"	"Pagamea"	"thyrsiflora"		"Pagamea thyrsiflora"		"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim"	"Paleocanal Tarumã-Mirim"	"-60.209422"	"-2.8857916"
"10699"	"ARA15042016"	"Terra-Araujo, M.H."	"1504"	"24"	"2"	"2016"	"Lentibulariaceae"					"Terra Firme. Platô"	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim"	"Paleocanal Tarumã-Mirim"	"-3.102"	"-60.025"		"5"	"6.5"	"frutos"
"10700"	"COS5652016"	"Costa, F.M."	"565"	"24"	"2"	"2016"	"Fabaceae"	"Dimorphandra"	"sp.1"		"Dimorphandra"	"Terra Firme. Vertente"	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim"	"Paleocanal Tarumã-Mirim"	"-3.102"	"-60.025"		"10"	"10"	"frutos"
"10701"	"MAT59162016"	"F. Matos"	"5916"	"24"	"2"	"2016"	"Chrysobalanaceae"	"Licania"	"lanceolata"		"Licania lanceolata"	"Terra Firme. Platô"	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim"	"Paleocanal Tarumã-Mirim"	"-2.856201"	"-60.247478"	"53.2382812"	"12"	"10"	"frutos"
"10702"	"ALE3142016"	"Alencar, L."	"314"	"24"	"2"	"2016"	"Rubiaceae"	"Pagamea"	"capitata"		"Pagamea capitata"	"Campinarana"	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim"	"Paleocanal Tarumã-Mirim"	"-3.102"	"-60.025"				"flores"
"10703"	"CAM90992016"	"Campos, P."	"9099"	"24"	"2"	"2016"	"Fabaceae"	"Ormosia"	"discolor"		"Ormosia discolor"	"Campinarana"	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim"	"Paleocanal Tarumã-Mirim"	"-2.8534616"	"-60.248415"	"33.0507812"	"3"	"2"	"frutos"
"10704"	"PER17552016"	"Perdiz, R.O."	"1755"	"24"	"2"	"2016"	"Apocynaceae"	"Malouetia"	"sp.1"		"Malouetia"	"Campinarana"	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim"	"Paleocanal Tarumã-Mirim"	"-2.8534616"	"-60.248415"	"33.0507812"			"flores"
"10705"	"COS14932016"	"Costa, F.M."	"1493"	"23"	"2"	"2016"	"Burseraceae"	"Protium"				"Campinarana"	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim"	"Paleocanal Tarumã-Mirim"	"-2.8513962"	"-60.249037"	"35.4541015"			"frutos"
"10706"	"POM17602016"	"Pombo, M.M."	"1760"	"23"	"2"	"2016"	"Fabaceae"	"Macrolobium"	"rubrum"		"Macrolobium rubrum"	"Campinarana"	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim"	"Paleocanal Tarumã-Mirim"	"-2.850829"	"-60.249797"	"35.2137451"			"flores"
"10707"	"COS8052016"	"Costa, F.M."	"805"	"23"	"2"	"2016"	"Lauraceae"	"Ocotea"	"esmeraldana"		"Ocotea esmeraldana"	"Campinarana"	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim"	"Paleocanal Tarumã-Mirim"	"-2.8530296"	"-60.250825"	"51.0753173"	"4"	"5"	"frutos"
"10708"	"SAK637552016"	"Sakagawa, S."	"63755"	"23"	"2"	"2016"	"Rubiaceae"	"Pagamea"	"occulta"		"Pagamea"	"Campinarana"	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim"	"Paleocanal Tarumã-Mirim"	"-2.8530296"	"-60.250825"	"51.0753173"	"15"	"12"	"frutos"
"10709"	"AMAINPA718542016"	"Amaral, I."	"INPA71854"	"23"	"2"	"2016"	"Poaceae"	"Panicum"	"sp.1"		"Panicum"	"Campinarana"	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim"	"Paleocanal Tarumã-Mirim"	"-2.8521373"	"-60.248384"	"35.4541015"	"12"	"7"	"frutos"
"10710"	"PAL5462016"	"Palacios, W.A."	"546"	"23"	"2"	"2016"	"Burseraceae"	"Protium"				"Campinarana"	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim"	"Paleocanal Tarumã-Mirim"	"-2.8521373"	"-60.248384"	"35.4541015"		"1.6"	"estéril"
"10711"	"DÁV31632016"	"Dávila, N.C."	"3163"	"23"	"2"	"2016"	"Burseraceae"	"Protium"				"Campinarana"	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim"	"Paleocanal Tarumã-Mirim"	"-2.8490034"	"-60.251275"	"40.7412109"	"6"	"5"	"estéril"
"10712"	"BRA53422016"	"Brand-Mesa, J."	"5342"	"25"	"2"	"2016"						"Beira Igarapé"	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim"	"Paleocanal Tarumã-Mirim"	"-2.85437"	"-60.243498"				"flores"
"10713"	"PRA3552016"	"Prata, E."	"355"	"25"	"2"	"2016"	"Rubiaceae"	"Pagamea"	"thyrsiflora"		"Pagamea thyrsiflora"	"Terra Firme. Platô"	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim"	"Paleocanal Tarumã-Mirim"	"-2.8530149"	"-60.242967"	"33"	"6"	"5"	"flores"
"10714"	"ROD8472016"	"Rodrigues, W.A."	"847"	"25"	"2"	"2016"	"Vochysiaceae"	"Ruizterania"	"esmeraldae"		"Ruizterania esmeraldae"	"Terra Firme. Platô"	"Brasil"	"Manaus"	"Amazonas"	"Igarapé Tarumã-Mirim"	"Igarapé Tarumã-Mirim - Paleocanal Tarumã-Mirim"	"Paleocanal Tarumã-Mirim"	"-2.8530149"	"-60.242967"	"33"	"8"	"8"	"frutos"
"11610"	"MAG20712016"	"Maguire, B."	"2071"	"13"	"4"	"2016"	"Rapateaceae"	"Rapatea"	"elongata"		"Rapatea elongata"		"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Sítio Toca Da Onça Transecto 7 Parcela 1"	"Parcela 1"	"-2.8457385208"	"-60.2371871844"		"37"	"4"	"estéril"
"11611"	"JAR19192016"	"Jardim, J.G."	"1919"	"13"	"4"	"2016"	"Dilleniaceae"	"Doliocarpus"	"areolatus"		"Doliocarpus areolatus"		"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Sítio Toca Da Onça Transecto 7 Parcela 1"	"Parcela 1"	"-2.8457385208"	"-60.2371871844"		"105"	"8"	"estéril"
"11612"	"PRA20252016"	"Prata, E."	"2025"	"13"	"4"	"2016"	"Polygalaceae"	"Bredemeyera"	"myrtifolia"		"Bredemeyera myrtifolia"		"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Sítio Toca Da Onça Transecto 7 Parcela 1"	"Parcela 1"	"-2.8457385208"	"-60.2371871844"		"135"	"9"	"estéril"
"11613"	"DÁV5192016"	"Dávila, N.C."	"519"	"13"	"4"	"2016"	"Acanthaceae"	"Pachystachys"	"sp.1"		"Pachystachys"		"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Sítio Toca Da Onça Transecto 7 Parcela 1"	"Parcela 1"	"-2.8457385208"	"-60.2371871844"		"35"	"5"	"estéril"
"11614"	"PER15662016"	"Pereira Pinto, G.C."	"1566"	"13"	"4"	"2016"	"Rubiaceae"	"Pagamea"	"pilosa"		"Pagamea pilosa"		"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Sítio Toca Da Onça Transecto 7 Parcela 1"	"Parcela 1"	"-2.8457385208"	"-60.2371871844"		"25"	"4"	"estéril"
"11615"	"PRA63202016"	"Prata, E."	"6320"	"13"	"4"	"2016"	"Melastomataceae"	"Comolia"	"microphylla"		"Comolia microphylla"		"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Sítio Toca Da Onça Transecto 7 Parcela 1"	"Parcela 1"	"-2.8457385208"	"-60.2371871844"		"26"	"4.3"	"estéril"
"11616"	"HOL10332016"	"Holanda, A.S.S.."	"1033"	"13"	"4"	"2016"	"Rubiaceae"				"Rubiaceae"		"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Sítio Toca Da Onça Transecto 7 Parcela 1"	"Parcela 1"	"-2.8457385208"	"-60.2371871844"		"25"	"3"	"estéril"
"11617"	"CAM31132016"	"Campos, P."	"3113"	"13"	"4"	"2016"	"Clusiaceae"	"Clusia"					"Brasil"	"Manaus"	"Amazonas"	"Igarapé Do Tarumã-mirim"	"Igarapé Do Tarumã-mirim Comunidade Vale Do Novo Amanhecer Sítio Toca Da Onça Transecto 7 Parcela 1"	"Parcela 1"	"-2.8457385208"	"-60.2371871844"		"30"	"2.6"	"estéril"
