"WikiEspecimenID"	"IDENTIFICADOR"	"COLLECTOR"	"NUMBER"	"COLLDD"	"COLLMM"	"COLLYY"	"FAMILY"	"GENUS"	"SPECIES"	"INFRASPECIES"	"NOME"	"HABITAT_CLASSE"	"COUNTRY"	"MINORAREA"	"MAJORAREA"	"GAZETTEER_CURTO"	"GAZETTEER_COMPLETA"	"GAZETTEER_SPECIFIC"	"LATITUDE"	"LONGITUDE"	"ALTITUDE"	"DAPmm"	"ALTURAm"	"FERTILIDADE"
"8135"	"PRA1728"	"Prata, E."	"1728"				"Loranthaceae"						"Brasil"	"Santa Isabel do Rio Negro"	"Amazonas"				"-0.366389"	"-64.9967"
"8136"	"CAM18561983"	"Campos, P."	"1856"	"25"	"4"	"1983"	"Clusiaceae"	"Caraipa"	"savannarum"		"Caraipa savannarum"		"Brasil"	"Novo Progresso"	"Pará"	"BR-163, ramal próximo a base aérea da Serra do Cachimbo"	"BR-163, ramal próximo a base aérea da Serra do Cachimbo"	"BR-163, ramal próximo a base aérea da Serra do Cachimbo"	"-9.36667"	"-54.9"			"2"	"frutos"
"8137"	"CAR1634"	"Carvalho, F.A."	"1634"				"Malvaceae"	"Bombacopsis"	"macrocalyx"		"Bombacopsis cf. macrocalyx"		"Venezuela"	"D. Rio Negro"	"Amazonas"	"San Carlos de Rio Negro"	"San Carlos de Rio Negro"	"San Carlos de Rio Negro"	"1.91667"	"-67.0667"
"8138"	"CAR545762002"	"Carvalho, F.A."	"54576"	"13"	"3"	"2002"	"Clusiaceae"				"Clusiaceae"		"Venezuela"	"D. Atabapo"	"Amazonas"	"Isla caymán"	"Isla caymán"	"Isla caymán"	"4.12278"	"-66.6803"		"2"	"3"	"estéril"
"8139"	"COS8302002"	"Costa, F.M."	"830"	"13"	"3"	"2002"	"Burseraceae"	"Protium"					"Venezuela"	"D. Atabapo"	"Amazonas"	"Isla caymán"	"Isla caymán"	"Isla caymán"	"4.12806"	"-66.6772"		"2"	"2"	"estéril"
"8140"	"COS61612002"	"Costa, F.M."	"6161"	"14"	"3"	"2002"	"Rubiaceae"	"Pagamea"	"guianensis"		"Pagamea guianensis"		"Venezuela"	"D. Atabapo"	"Amazonas"	"Isla caymán"	"Isla caymán"	"Isla caymán"	"4.12806"	"-66.6772"			"4"	"estéril"
"8141"	"HUB1174162000"	"Huber, O."	"117416"	"26"	"3"	"2000"	"Solanaceae"						"Venezuela"	"D. Rio Negro"	"Amazonas"	"San Carlos de Rio Negro"	"San Carlos de Rio Negro"	"San Carlos de Rio Negro"	"1.92694"	"-67.0603"			"2"	"frutos"
"8142"	"PAL16161948"	"Palacios, P.A."	"1616"	"31"	"12"	"1948"	"Rubiaceae"	"Pagamea"	"resinosa"		"Pagamea resinosa"		"Venezuela"	"Raúl Leoni"	"Bolívar"	"Cerro Auyán"	"Cerro Auyán"	"Cerro Auyán"	"4.1856"	"-62.5667"			"3"	"flores"
"8143"	"CAM133"	"Campos, P."	"133"				"Adiantaceae"	"Trichomanes"	"pfermini"		"Trichomanes"		"Brasil"	"Porto Grande"	"Amapá"				"0.729167"	"-51.3875"
"8144"	"CAM515"	"Campos, P."	"515"				"Araceae"	"Montrichardia"	"arborescens"		"Montrichardia arborescens"		"Brasil"	"Oeiras do Pará"	"Pará"				"-2.13222"	"-49.9658"
"8145"	"PRA1276"	"Prata, E."	"1276"				"Asteraceae"						"Brasil"	"Porto Velho"	"Rondônia"	"Mutum-paraná"	"Mutum-paraná"	"Mutum-paraná"	"-9.5856"	"-64.9985"
"8146"	"CAM13182001"	"Campos, P."	"1318"	"26"	"4"	"2001"	"Bonnetiaceae"				"Bonnetiaceae"		"Brasil"	"Guajará"	"Amazonas"	"BR-307"	"BR-307"	"BR-307"	"-7.40042"	"-73.0212"			"2"	"flores"
"8147"	"PRA584612001"	"Prata, E."	"58461"	"30"	"6"	"2001"	"Rubiaceae"	"Pagamea"	"plicatiformis"		"Pagamea plicatiformis"		"Suriname"	"Coppename"	"Sipaliwini"	"Tafelberg"	"Tafelberg"	"Tafelberg"	"3.90722"	"-56.2125"			"3"	"frutos"
"8148"	"DAH10051949"	"Dahlgren, B.E."	"1005"	"21"	"1"	"1949"	"Orchidaceae"	"Erycina"	"pusilla"		"Erycina pusilla"		"Venezuela"	"D. Atures"	"Amazonas"	"Cerro Sipapo"	"Cerro Sipapo"	"Cerro Sipapo"	"3.1138"	"-67.4"			"3.5"	"frutos"
"8149"	"DAM12092005"	"Damasco, G."	"1209"	"16"	"6"	"2005"	"Clusiaceae"	"Clusia"	"nemorosa"		"Clusia nemorosa"		"Ecuador"	"San Miguel de Conchay"	"Morona Santiago - Morona"	"Cordillera del Condor"	"Cordillera del Condor"	"Cordillera del Condor"	"-3.06111"	"-78.2392"			"2"	"frutos"
