"COLUNA"	"DEFINICAO"
"INF_BRA"	"Brácteas. (Presença de brácteas na inflorescência). Variavel Categoria."
"CAL_CALDENDOINDINT"	"Cálice densidade do indumento internamente. (Densidade do indumento do cálice na parte interna). Variavel Categoria."
"IND_CALDEN"	"Cálice Densidade. (Densidade do indumento na superfície observada). Variavel Categoria."
"CAL_COMDOSLOB"	"Comprimento dos lobos. (Comprimento dos lobos do cálice). Variavel Quantitativo. Unidade de medida padrao mm."
"CAL_COMDOSLOB_UNIT"	"Unidade da medicao da variavel CAL_COMDOSLOB"
"CAL_COM"	"Comprimento. (Comprimento total do cálice, da base até o ápice dos lobos (quando for o caso)). Variavel Quantitativo. Unidade de medida padrao mm."
"CAL_COM_UNIT"	"Unidade da medicao da variavel CAL_COM"
"FOL_MARDEPRE"	"Marcas de prefoliação. (Visibilidade de marcas de prefoliação, resultantes da forma como a folha estava enrolada antes de expandir). Variavel Categoria."
"FOL_NUMDEACA"	"Número de ácaro-domáceas. (Número de ácaro-domáceas nas axilas das veias secundárias em um lado da lâmina). Variavel Quantitativo. Unidade de medida padrao número."
"FOL_NUMDEACA_UNIT"	"Unidade da medicao da variavel FOL_NUMDEACA"
"INF_COMDOPRINODAPRIRAMLAT"	"Comprimento do primeiro nó da primeira ramificação lateral. (Comprimento do primeiro nó da primeira ramificação). Variavel Quantitativo. Unidade de medida padrao mm."
"INF_COMDOPRINODAPRIRAMLAT_UNIT"	"Unidade da medicao da variavel INF_COMDOPRINODAPRIRAMLAT"
"INF_NUMDENOSDOPRIRAMLAT"	"Número de nós do primeiro ramo lateral. (Número de nós do primeiro ramo lateral). Variavel Quantitativo. Unidade de medida padrao número."
"INF_NUMDENOSDOPRIRAMLAT_UNIT"	"Unidade da medicao da variavel INF_NUMDENOSDOPRIRAMLAT"
"INF_COMDAPRIRAM"	"Comprimento da primeira ramificação. (Comprimento da primeira ramificação acima do pedúnculo da inflorescência). Variavel Quantitativo. Unidade de medida padrao mm."
"INF_COMDAPRIRAM_UNIT"	"Unidade da medicao da variavel INF_COMDAPRIRAM"
"INF_COMDOPRINODOEIXPRI"	"Comprimento do primeiro nó do eixo principal. (Comprimento do primeiro nó do eixo principal acima do pedúnculo). Variavel Quantitativo. Unidade de medida padrao mm."
"INF_COMDOPRINODOEIXPRI_UNIT"	"Unidade da medicao da variavel INF_COMDOPRINODOEIXPRI"
"INF_NUMDENOS"	"Número de nós. (Número de nós individualizados no eixo principal da inflorescencia, acima do pedúnculo). Variavel Quantitativo. Unidade de medida padrao número."
"INF_NUMDENOS_UNIT"	"Unidade da medicao da variavel INF_NUMDENOS"
"INF_COMDOPED"	"Comprimento do pedúnculo. (Comprimento do pedúnculo). Variavel Quantitativo. Unidade de medida padrao mm."
"INF_COMDOPED_UNIT"	"Unidade da medicao da variavel INF_COMDOPED"
"INF_COMTOT"	"Comprimento total. (Comprimento total do eixo principal da inflorescência, incluindo o pedúnculo). Variavel Quantitativo. Unidade de medida padrao mm."
"INF_COMTOT_UNIT"	"Unidade da medicao da variavel INF_COMTOT"
"IND_LAMABADEN"	"Lâmina abaxial Densidade. (Densidade do indumento na superfície observada). Variavel Categoria."
"IND_LAMADADEN"	"Lâmina adaxial Densidade. (Densidade do indumento na superfície observada). Variavel Categoria."
"IND_LAMABATAM"	"Lâmina abaxial Tamanho. (Tamanho relativo do indumento). Variavel Categoria."
"IND_LAMADATAM"	"Lâmina adaxial Tamanho. (Tamanho relativo do indumento). Variavel Categoria."
"FOL_TEX"	"Textura. (Textura da folha). Variavel Categoria."
"FOL_LARDALAM"	"Largura da lâmina. (Largura máxima da lâmina). Variavel Quantitativo. Unidade de medida padrao mm."
"FOL_LARDALAM_UNIT"	"Unidade da medicao da variavel FOL_LARDALAM"
"FOL_COMTOT"	"Comprimento total. (Comprimento da folha incluindo o pecíolo). Variavel Quantitativo. Unidade de medida padrao mm."
"FOL_COMTOT_UNIT"	"Unidade da medicao da variavel FOL_COMTOT"
"FOL_MARDALAM"	"Margem da lâmina. (Margem da lâmina foliar em relação à lâmina). Variavel Categoria."
"FOL_ALTDAMAXLAR"	"Altura da máxima largura. (Posição da medição da largura máxima da lâmina foliar, medida desde a base do pecíolo). Variavel Quantitativo. Unidade de medida padrao mm."
"FOL_ALTDAMAXLAR_UNIT"	"Unidade da medicao da variavel FOL_ALTDAMAXLAR"
"GIN_DENDOINDDOOVA"	"Densidade do indumento do ovário. (Densidade do indumento do ovário). Variavel Categoria."
"GIN_TIPDOINDDOOVA"	"Tipo do indumento do ovário. (Tipo do indumento do ovário). Variavel Categoria."
"INF_DENDOINDNOPED"	"Densidade do indumento no pedúnculo. (Densidade do indumento no pedúnculo). Variavel Categoria."
"INF_TIPDOINDNOPED"	"Tipo do indumento no pedúnculo. (Tipo do indumento no pedúnculo). Variavel Categoria."
"PEC_COM"	"Comprimento. (Comprimento da base até o ápice do pecíolo). Variavel Quantitativo. Unidade de medida padrao mm."
"PEC_COM_UNIT"	"Unidade da medicao da variavel PEC_COM"
"IND_PECDEN"	"Pecíolo densidade. (Densidade do indumento na superfície observada). Variavel Categoria."
"IND_PECTAM"	"Pecíolo Tamanho. (Tamanho relativo do indumento). Variavel Categoria."
"FOL_LARREVDAMAR"	"Largura revoluta da margem. (Medida da parte da margem da folha que é revoluta, medida na parte central da lâmina). Variavel Quantitativo. Unidade de medida padrao mm."
"FOL_LARREVDAMAR_UNIT"	"Unidade da medicao da variavel FOL_LARREVDAMAR"
"FOL_DENDOINDNANERCENABA"	"Densidade do indumento na nervura central abaxial. (Densidade do indumento na nervura central abaxial). Variavel Categoria."
"FOL_DENDOINDNANERCENADA"	"Densidade do indumento na nervura central adaxial. (Densidade do indumento na nervura central adaxial). Variavel Categoria."
"FOL_TAMDOINDNANERCENABA"	"Tamanho do indumento na nervura central abaxial. (Tamanho do indumento na nervura central abaxial). Variavel Categoria."
"FOL_TAMDOINDNANERCENADA"	"Tamanho do indumento na nervura central adaxial. (Tamanho do indumento na nervura central adaxial). Variavel Categoria."
"FLO_NOTDOSISSEX"	"Notas do sistema sexual. (Notas do sistema sexual). Variavel Texto."
